Package,Path,Line,WMC,ATFD,TCC
jsat.classifiers.linear,/src/jsat/classifiers/linear/SMIDAS.java,42,57,44,9.091
jsat.classifiers.linear,/src/jsat/classifiers/linear/NewGLMNET.java,59,112,41,7.692
jsat.classifiers.linear,/src/jsat/classifiers/linear/STGD.java,33,58,18,8.308
jsat.classifiers.linear,/src/jsat/classifiers/linear/PassiveAggressive.java,34,52,14,11.376
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/SOM.java,34,78,45,21.014
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/LVQ.java,31,78,35,10.462
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/RBFNet.java,69,63,19,15.333
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/BackPropagationNet.java,46,85,113,8.668
jsat.classifiers.neuralnetwork,/src/jsat/classifiers/neuralnetwork/SGDNetworkTrainer.java,41,109,95,16.856
jsat.classifiers.svm,/src/jsat/classifiers/svm/SBP.java,37,57,12,8.333
jsat.classifiers.svm,/src/jsat/classifiers/svm/Pegasos.java,32,49,11,7.359
jsat.classifiers.svm,/src/jsat/classifiers/svm/PlattSMO.java,59,275,65,15.789
jsat.classifiers.svm,/src/jsat/classifiers/svm/DCDs.java,58,122,71,13.445
jsat.classifiers.svm.extended,/src/jsat/classifiers/svm/extended/OnlineAMM.java,52,72,34,13.333
jsat.classifiers.svm.extended,/src/jsat/classifiers/svm/extended/CPM.java,61,73,34,17.647
jsat.classifiers.svm,/src/jsat/classifiers/svm/LSSVM.java,72,55,36,5.263
jsat.classifiers.svm,/src/jsat/classifiers/svm/DCD.java,53,72,42,17.241
jsat.classifiers.svm,/src/jsat/classifiers/svm/DCSVM.java,76,49,40,14.103
jsat.classifiers.boosting,/src/jsat/classifiers/boosting/Wagging.java,37,50,9,20.000
jsat.classifiers.boosting,/src/jsat/classifiers/boosting/Bagging.java,32,67,78,22.500
jsat.classifiers.bayesian,/src/jsat/classifiers/bayesian/MultinomialNaiveBayes.java,33,48,31,25.758
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,20,81,46,19.333
jsat.distributions.kernels,/src/jsat/distributions/kernels/KernelPoint.java,40,90,56,26.087
jsat.distributions.multivariate,/src/jsat/distributions/multivariate/MetricKDE.java,27,53,25,19.565
