Package,File,Line,CC
jsat.text.stemming,/text/stemming/PorterStemmer.java,79,41
jsat.text.stemming,/text/stemming/PorterStemmer.java,208,10
jsat.text.stemming,/text/stemming/PaiceHuskStemmer.java,60,15
jsat.regression,/regression/RANSAC.java,113,11
jsat.regression,/regression/StochasticRidgeRegression.java,226,19
jsat.regression,/regression/KernelRLS.java,200,10
jsat,/ColumnMajorStore.java,159,10
jsat.classifiers.knn,/classifiers/knn/DANN.java,230,16
jsat.classifiers.trees,/classifiers/trees/ImpurityScore.java,98,11
jsat.classifiers.trees,/classifiers/trees/ImpurityScore.java,213,13
jsat.classifiers.trees,/classifiers/trees/ID3.java,74,10
jsat.classifiers.trees,/classifiers/trees/RandomForest.java,289,20
jsat.classifiers.trees,/classifiers/trees/RandomForest.java,445,15
jsat.classifiers.trees,/classifiers/trees/MDI.java,86,10
jsat.classifiers.trees,/classifiers/trees/ExtraTree.java,209,22
jsat.classifiers.trees,/classifiers/trees/ExtraTree.java,370,23
jsat.classifiers.trees,/classifiers/trees/DecisionStump.java,38,118 (highest 15)
jsat.classifiers.trees,/classifiers/trees/DecisionStump.java,378,13
jsat.classifiers.trees,/classifiers/trees/DecisionStump.java,600,15
jsat.classifiers.trees,/classifiers/trees/DecisionStump.java,766,10
jsat.classifiers.trees,/classifiers/trees/MDA.java,51,11
jsat.classifiers.trees,/classifiers/trees/DecisionTree.java,36,81 (highest 11)
jsat.classifiers.trees,/classifiers/trees/DecisionTree.java,378,10
jsat.classifiers.trees,/classifiers/trees/DecisionTree.java,429,11
jsat.classifiers.trees,/classifiers/trees/TreePruner.java,87,15
jsat.classifiers.trees,/classifiers/trees/TreePruner.java,167,25
jsat.classifiers,/classifiers/OneVSOne.java,111,10
jsat.classifiers.calibration,/classifiers/calibration/PlattCalibration.java,62,17
jsat.classifiers.linear,/classifiers/linear/StochasticSTLinearL1.java,350,15
jsat.classifiers.linear,/classifiers/linear/LogisticRegressionDCD.java,204,18
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/Projectron.java,213,17
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/Forgetron.java,216,15
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/DUOL.java,204,14
